,player,index,minutes,total_mins
247,player8,8,21.2,228.4
248,player1,1,37.5,230.60000000000002
249,player2,2,35.3,230.60000000000002
250,player3,3,34.6,230.60000000000002
251,player4,4,28.4,230.60000000000002
252,player5,5,27.2,230.60000000000002
253,player6,6,23.9,230.60000000000002
254,player7,7,22.6,230.60000000000002
255,player8,8,21.1,230.60000000000002
256,player1,1,34.5,196.8
257,player2,2,34.4,196.8
258,player3,3,28.9,196.8
259,player4,4,24.5,196.8
260,player5,5,22.6,196.8
261,player6,6,19.0,196.8
262,player7,7,17.3,196.8
263,player8,8,15.6,196.8
264,player1,1,30.8,205.2
265,player2,2,29.8,205.2
266,player3,3,28.6,205.2
267,player4,4,27.9,205.2
268,player5,5,25.0,205.2
269,player6,6,21.9,205.2
270,player7,7,21.2,205.2
271,player8,8,20.0,205.2
272,player1,1,30.0,221.89999999999998
273,player2,2,29.3,221.89999999999998
274,player3,3,29.1,221.89999999999998
275,player4,4,28.4,221.89999999999998
276,player5,5,28.0,221.89999999999998
277,player6,6,26.8,221.89999999999998
278,player7,7,25.5,221.89999999999998
279,player8,8,24.8,221.89999999999998
280,player1,1,31.6,210.1
281,player2,2,27.4,210.1
282,player3,3,26.3,210.1
283,player4,4,26.3,210.1
284,player5,5,26.2,210.1
285,player6,6,25.4,210.1
286,player7,7,23.7,210.1
287,player8,8,23.2,210.1
288,player1,1,33.7,228.5
289,player2,2,31.6,228.5
290,player3,3,30.3,228.5
291,player4,4,30.2,228.5
292,player5,5,29.6,228.5
293,player6,6,25.1,228.5
294,player7,7,24.3,228.5
295,player8,8,23.7,228.5
296,player1,1,34.7,227.0
297,player2,2,34.2,227.0
298,player3,3,33.7,227.0
299,player4,4,33.6,227.0
300,player5,5,31.3,227.0
301,player6,6,21.2,227.0
302,player7,7,19.3,227.0
303,player8,8,19.0,227.0
304,player1,1,35.4,237.29999999999998
305,player2,2,34.3,237.29999999999998
306,player3,3,30.8,237.29999999999998
307,player4,4,30.2,237.29999999999998
308,player5,5,29.5,237.29999999999998
309,player6,6,28.8,237.29999999999998
310,player7,7,26.6,237.29999999999998
311,player8,8,21.7,237.29999999999998
312,player1,1,38.4,222.60000000000002
313,player2,2,37.5,222.60000000000002
314,player3,3,35.6,222.60000000000002
315,player4,4,29.8,222.60000000000002
316,player5,5,25.6,222.60000000000002
317,player6,6,22.5,222.60000000000002
318,player7,7,19.6,222.60000000000002
319,player8,8,13.6,222.60000000000002
320,player1,1,40.2,213.8
321,player2,2,34.5,213.8
322,player3,3,29.2,213.8
323,player4,4,28.1,213.8
324,player5,5,24.4,213.8
325,player6,6,21.8,213.8
326,player7,7,18.0,213.8
327,player8,8,17.6,213.8
328,player1,1,36.5,225.79999999999998
329,player2,2,35.7,225.79999999999998
330,player3,3,35.3,225.79999999999998
331,player4,4,28.9,225.79999999999998
332,player5,5,24.2,225.79999999999998
333,player6,6,23.3,225.79999999999998
334,player7,7,21.8,225.79999999999998
335,player8,8,20.1,225.79999999999998
336,player1,1,39.4,223.4
337,player2,2,34.9,223.4
338,player3,3,32.2,223.4
339,player4,4,31.4,223.4
340,player5,5,25.1,223.4
341,player6,6,21.5,223.4
342,player7,7,19.9,223.4
343,player8,8,19.0,223.4
344,player1,1,37.7,246.0
345,player2,2,35.5,246.0
346,player3,3,35.4,246.0
347,player4,4,35.1,246.0
348,player5,5,32.9,246.0
349,player6,6,27.1,246.0
350,player7,7,22.3,246.0
351,player8,8,20.0,246.0
352,player1,1,38.5,240.8
353,player2,2,37.1,240.8
354,player3,3,36.1,240.8
355,player4,4,35.8,240.8
356,player5,5,34.0,240.8
357,player6,6,23.3,240.8
358,player7,7,20.7,240.8
359,player8,8,15.3,240.8
360,player1,1,36.1,228.0
361,player2,2,35.3,228.0
362,player3,3,35.3,228.0
363,player4,4,35.2,228.0
364,player5,5,34.8,228.0
365,player6,6,21.1,228.0
366,player7,7,16.0,228.0
367,player8,8,14.2,228.0
368,player1,1,36.8,225.10000000000002
369,player2,2,36.6,225.10000000000002
370,player3,3,36.2,225.10000000000002
371,player4,4,32.3,225.10000000000002
372,player5,5,29.9,225.10000000000002
373,player6,6,21.1,225.10000000000002
374,player7,7,16.7,225.10000000000002
375,player8,8,15.5,225.10000000000002
376,player1,1,33.7,216.09999999999997
377,player2,2,32.9,216.09999999999997
378,player3,3,32.3,216.09999999999997
379,player4,4,30.5,216.09999999999997
380,player5,5,29.3,216.09999999999997
381,player6,6,21.6,216.09999999999997
382,player7,7,19.0,216.09999999999997
383,player8,8,16.8,216.09999999999997
384,player1,1,37.3,237.5
385,player2,2,36.7,237.5
386,player3,3,34.0,237.5
387,player4,4,32.2,237.5
388,player5,5,31.9,237.5
389,player6,6,30.1,237.5
390,player7,7,18.1,237.5
391,player8,8,17.2,237.5
392,player1,1,34.2,236.5
393,player2,2,34.0,236.5
394,player3,3,33.7,236.5
395,player4,4,28.6,236.5
396,player5,5,27.9,236.5
397,player6,6,27.9,236.5
398,player7,7,26.5,236.5
399,player8,8,23.7,236.5
400,player1,1,32.8,213.2
401,player2,2,31.2,213.2
402,player3,3,27.8,213.2
403,player4,4,27.2,213.2
404,player5,5,26.0,213.2
405,player6,6,23.4,213.2
406,player7,7,22.9,213.2
407,player8,8,21.9,213.2
408,player1,1,33.2,215.2
409,player2,2,31.5,215.2
410,player3,3,29.6,215.2
411,player4,4,28.6,215.2
412,player5,5,28.0,215.2
413,player6,6,24.8,215.2
414,player7,7,20.7,215.2
415,player8,8,18.8,215.2
416,player1,1,35.5,228.5
417,player2,2,34.1,228.5
418,player3,3,32.8,228.5
419,player4,4,32.3,228.5
420,player5,5,28.5,228.5
421,player6,6,26.7,228.5
422,player7,7,19.8,228.5
423,player8,8,18.8,228.5
424,player1,1,31.5,220.4
425,player2,2,31.0,220.4
426,player3,3,30.5,220.4
427,player4,4,29.5,220.4
428,player5,5,28.6,220.4
429,player6,6,24.4,220.4
430,player7,7,24.1,220.4
431,player8,8,20.8,220.4
432,player1,1,36.7,227.8
433,player2,2,35.7,227.8
434,player3,3,33.1,227.8
